#tiles nodes machineLearningNodes (0.05)
01 	2 2
02 	3 3
03 	6 6
04 	7 7
05 	10 10
06 	14 14
07	43 
07 	20 20
08	278 
08	34 
08 	27 21
09 	28 22
10	24 
10	36 
11 	47 32
12	60 33
13 	71 41
14 	74 44
15 	87 47
16 	99 54
17 	141 78
18 	167 87
19 	189 99
20	238 110
20	238 
20	357
20	3838
21 	428 188
22 	448 197
23 	595 275
24 	603 281
25 	679 311
26 	967 430
27 	2175 833
28 	2380 890
29 	2922 1042
30	4899 1762
31	4899 1762
32	5670 2143
33	6215 2312
34	6970 2587
35	7626 2759
36	9616 3409
37	10483 3658
38	23399 7102
39	24972 7740
40	28854
41	35310
