#length 	NoFilter	Decisiontable(0.005) 	j48(0.004)
1 			2 			2  						2
2 			4 			4 						3
3			9			8 						5
4			14			9 						7
5			24			17 						10
6			42			21 						13
7			65			34 						18
8			92			41 						26
9 			130			43 						33
10 			168			45 						37
11			237			68 						43
12 			317			96 						52
13 			395			129 					56
14			503			174 					63
15			551 		175 					67
16 			655			184 					77
17 			722			186 					79
18 			795 		227 					89
19 			953			244 					106
20 			1087 		251 					132
21			1352		318 					143
22 			1733		339 					164
23 			2178 		479 					180
24			3280		739 					196
25 			3728		807 					206
26			4357		939 					231
27 			5236 		1114 					258
28 			6152		1405 					295
29			8166		2086 					337
30 			10888		3088 					423
31 			14785		3653 					545
32 			19219 		4619 					698
33			1294154		216880					51642
34 			1846594 	272203 					61151
35 			2114091		319771					75574
36 			? 			? 						197962
37 			? 			? 						277374
38 			? 			? 						410339
39 			? 			? 						591132
40 			? 			? 						880322
41 			? 			? 						1235073
42			
